RightAsc;Decl;  Mag B  ;  Mag V  ;  Mag R  
283.8163604;-26.29672411;1.923;2.067;10
107.9660853;-0.49276717;4.14;4.15;10
201.2982474;-11.16131949;0.74;0.97;1.06
350.7426076;-20.10058209;5.08;3.98;3.16
108.485;-30.758;10;3.6;10
184.9764267;-0.666796198;3.92;3.9;3.82
41.03061566;-13.85868872;4.112;4.236;10
127.5661257;60.71816822;4.27;3.42;2.76
303.9422633;27.81419889;5.78;4.52;3.56
131.0997795;-42.64927746;4.917;4.046;10
295.2622456;17.47604241;5.43;4.38;3.66
154.2740802;42.91441381;3.48;3.45;3.37
113.9806251;26.8957445;5.6;4.06;2.82
98.22594959;7.332969698;4.5;4.5;4.4
249.0936313;-35.25533141;5.73;4.156;10
252.1662295;-69.02771185;3.33;1.88;10
346.7197103;-43.52035715;4.73;4.332;10
255.072389;30.92640423;3.91;3.92;3.93
119.1946671;-52.98234546;3.267;3.431;10
337.20787;-0.01996465;4.79;4.34;3.27
90.01395681;-3.074258471;5.74;4.52;3.59
213.3708653;51.78996746;4.7;4.5;10
240.4722707;58.56525054;4.52;4;3.56
250.7694107;-77.51743315;5.3;4.24;10
49.9818788;-43.069782;4.98;4.27;3.65
163.3278715;34.21489213;4.87;3.83;3
78.23292902;-16.2054635;3.18;3.29;3.3
28.66004579;20.80803147;2.78;2.65;2.51
57.29059607;24.05341713;3.54;3.63;3.62
56.29846973;42.57853043;4.22;3.8;3.4
61.17380367;22.08192967;5.44;4.37;3.58
262.6081737;52.30138871;3.79;2.81;2.12
94.13806452;-35.1405151;5.37;4.37;3.64
337.2927611;58.41519378;4.35;3.75;10
105.9395561;-15.633287;4;4.12;4.13
2.29452158;59.1497811;2.61;2.27;1.97
204.9719072;-53.46639115;2.08;2.3;2.45
355.511689;1.780042138;4.72;4.51;4.33
335.4140482;-1.387349194;3.791;3.834;10
17.3755086;47.24179659;4.54;4.294;10
286.1707585;-21.74149596;4.77;3.77;3.05
152.6470358;-12.35412748;4.61;3.61;2.84
108.7027251;-26.77266756;3.64;3.82;3.8
80.577;41.025;10;4.2;10
325.3689251;-77.39000876;4.745;3.728;5.46
269.0632541;37.25053667;5.23;3.88;2.98
84.22661905;9.290671253;5.04;4.09;3.33
253.6458543;-42.36131584;4.99;3.62;10
28.59889203;63.67010007;3.22;3.37;3.4
69.5450984;-14.3040279;4.96;3.87;3.03
309.3918007;-47.29150145;4.11;3.11;10
316.6503893;47.64840339;6.079;4.514;10
105.7561306;-23.83329397;2.94;3.02;3.01
83.78449002;9.93415587;3.48;3.66;3.72
132.1082112;5.837812491;4.309;4.337;10
307.3954386;62.99411033;4.42;4.22;4.05
196.7276642;-49.90624642;4.08;4.27;10
311.415638;30.71971454;5.29;4.23;3.46
233.2324295;31.3591431;4.14;4.3;10
290.65958;-44.45895838;3.91;4.01;10
218.6700724;29.74512713;4.84;4.47;4.13
193.2787764;-48.94331288;5.7;4.33;3.35
77.28660023;-8.754083776;4.07;4.27;4.35
288.8874388;73.35552175;5.7;4.45;3.55
99.44030261;-43.19593569;3.06;3.17;3.17
169.5455495;31.5292889;4.38;3.79;10
41.23557227;10.11414493;4.57;4.26;10
193.50729;55.95982296;1.75;1.77;1.79
130.8980726;-33.18638328;3.5;3.68;3.76
333.469698;39.71492468;5.88;4.49;3.48
68.37730105;-29.76649185;5.49;4.51;3.76
59.50735759;-13.50851481;4.54;2.94;1.68
285.4201203;-5.739089505;5.11;4.02;3.23
164.9436048;-18.29878622;5.16;4.07;3.27
311.6645826;16.12429395;5.26;4.25;4.1
76.62872559;41.23447574;3;3.18;3.23
302.2222864;77.71142099;4.35;4.4;10
309.9094985;15.91216001;3.74;3.8;3.77
275.3275021;-2.89882797;4.19;3.25;2.55
126.4151328;-3.906427219;3.88;3.9;3.87
87.45691694;-56.16666602;5.589;4.494;10
265.3536363;-12.87530527;4.31;4.228;10
247.5550013;21.48961075;3.7;2.77;2.13
61.64601079;50.35126151;4.31;4.29;4.21
112.2779953;31.78454925;4.5;4.18;3.86
102.4602463;-32.50847884;3.68;3.89;3.91
16.52099799;-46.71841069;4.19;3.3;2.59
144.2720324;81.32638087;5.736;4.255;10
138.2999061;-69.7172076;1.69;1.69;1.63
89.98374136;45.93673492;5.97;4.25;2.56
169.6197384;33.09430607;4.89;3.49;2.43
254.4170729;9.37502902;4.36;3.2;2.36
316.4867853;-17.23286284;4.06;4.07;4.06
161.6923962;-49.42025994;3.59;2.69;2.01
200.1492201;-36.71230458;2.76;2.73;2.68
260.206924;-12.84687607;4.361;4.324;10
216.5450574;-45.37927841;4.76;4.35;10
78.63446707;-8.20163836;0.1;0.13;0.13
341.6328246;23.5656561;5;3.93;3.16
337.3826173;47.7069059;6.05;4.37;2.98
332.5499526;6.197921588;3.62;3.55;3.5
261.5925689;-24.17530695;4.437;4.153;10
219.9020583;-60.83399269;0.72;0.01;10
340.6668761;-46.88457644;3.73;2.11;0.2
263.4021672;-37.10382355;1.49;1.63;10
91.03006433;23.26334447;5.02;4.15;3.47
310.3579798;45.28033881;1.34;1.25;1.14
101.322352;12.89559496;3.79;3.36;2.97
135.0225406;-41.25360734;5.088;4.446;10
281.1931545;37.60512165;4.55;4.36;4.21
102.0477297;-61.94138912;3.46;3.23;10
263.0541592;86.58645961;4.367;4.336;10
319.6448847;62.58557446;2.68;2.46;2.22
28.27043924;29.57881867;3.9;3.42;3
337.6219196;43.12337646;4.4;4.511;10
125.1605795;-77.4844792;5.504;4.337;10
291.35;20.1833;3.93;3.6;10
109.2856533;-37.09747115;4.32;2.7;1.46
64.94834968;15.62764205;4.64;3.65;4.83
74.32165746;53.75210201;4.416;4.433;10
257.5944336;-15.7251428;2.564;2.463;10
74.24841676;33.16609377;4.22;2.69;1.63
218.1543961;-50.45714824;4.24;4.423;10
329.4794731;-54.99257612;4.68;4.4;10
81.1192392;-2.397146951;3.42;3.59;10
87.73996785;-35.76830962;4.28;3.12;2.27
41.97725865;29.24711827;5.63;4.51;3.72
286.5622444;-4.882562746;3.34;3.43;3.46
168.5600236;15.42957109;3.33;3.35;3.32
136.0386652;-47.09773508;4.95;3.75;2.93
156.5226089;-16.8362886;5.29;3.81;2.7
17.77567539;55.14989972;4.51;4.33;4.16
86.93912017;-9.669604919;1.88;2.06;2.09
271.4520337;-30.42408985;4;2.99;2.26
311.3223965;61.83878173;4.32;3.41;2.76
86.19320832;-65.7354981;4.57;4.36;4.1
89.88217887;44.94743257;1.93;1.9;1.82
297.6413389;32.91404876;6.06;4.24;1.81
297.6958273;8.8683212;0.98;0.76;0.62
193.6484344;-57.1779247;3.87;4.04;4.14
219.90208;-60.83397;0.4;-0.1;10
2.09691619;29.09043112;1.95;2.06;2.09
272.1895497;20.81455683;4.177;4.347;10
7.88945;-62.965564;4.611;4.488;10
220.2873341;13.72828106;4.56;4.51;10
355.1021156;44.33393296;4.06;4.14;4.15
216.299154;51.85074367;4.56;4.05;3.64
83.70515678;9.489586217;4.26;4.41;4.42
45.5698878;4.08973877;4.17;2.53;1.18
53.44698288;-21.63288448;4.15;4.25;10
161.4458597;-80.54018818;4.258;4.433;10
114.7077947;-26.80384716;4.26;4.429;10
207.4041195;-42.47373341;3.27;3.43;3.41
125.6284802;-59.50948419;3.13;1.86;10
99.47258909;-18.23748069;5.6;4.43;3.56
131.593935;-13.54772365;5.22;4.32;3.64
87.83040012;-20.87909185;4.83;3.85;2.99
95.94202257;4.592882361;4.583;4.398;10
292.6803507;27.9596928;4.63;3.2;10
153.4342525;-70.03790645;3.25;3.33;3.29
299.9340791;-35.27630832;4.22;4.37;10
283.8292;-30.5453;4.5;3.6;10
115.3117999;-9.551132713;4.95;3.93;3.16
208.6711622;18.39772072;3.25;2.68;2.24
